,dataset_name,category,label,cnt,mx,ag
110,brightening_100,scene,crevasse-s,2,0.07336337820820447,0.06685959914924933
111,brightening_100,scene,cubicle-office-s,1,0.03858253177165742,0.03858253177165742
112,brightening_100,scene,dam-s,1,0.03149750695827207,0.03149750695827207
113,brightening_100,scene,desert-sand-s,2,0.14523368915978194,0.09125494192999431
114,brightening_100,scene,dining_room-s,3,0.046673613980132325,0.041100386094131636
115,brightening_100,scene,dorm_room-s,1,0.015947113769845953,0.015947113769845953
116,brightening_100,scene,elevator-door-s,1,0.0694628747210326,0.0694628747210326
117,brightening_100,scene,elevator_shaft-s,1,0.0599846349650165,0.0599846349650165
118,brightening_100,scene,excavation-s,2,0.0634504742435947,0.05041196846011405
119,brightening_100,scene,field-cultivated-s,1,0.06947948561850165,0.06947948561850165
120,brightening_100,scene,field-wild-s,2,0.059038495836248636,0.05338969717319829
121,brightening_100,scene,fire_escape-s,1,0.07096221301468103,0.07096221301468103
122,brightening_100,scene,food_court-s,1,0.0452749918957848,0.0452749918957848
123,brightening_100,scene,forest-broadleaf-s,1,0.09203125040936257,0.09203125040936257
124,brightening_100,scene,forest_path-s,1,0.06355315295309605,0.06355315295309605
125,brightening_100,scene,fountain-s,1,0.06660796736541055,0.06660796736541055
126,brightening_100,scene,gas_station-s,4,0.04902968446479712,0.04085327899812418
127,brightening_100,scene,gazebo-exterior-s,3,0.07081746545144982,0.057459888807186645
128,brightening_100,scene,golf_course-s,2,0.053150157064800016,0.04895074939052889
129,brightening_100,scene,greenhouse-indoor-s,3,0.12208921199808655,0.08323960574928313
130,brightening_100,scene,gymnasium-indoor-s,3,0.07900313124808793,0.06611409256986361
131,brightening_100,scene,hayfield-s,1,0.04530167959900135,0.04530167959900135
132,brightening_100,scene,highway-s,7,0.18684207382607493,0.08064953388830631
133,brightening_100,scene,ice_skating_rink-indoor-s,2,0.07273356332482066,0.06322235480556225
134,brightening_100,scene,islet-s,1,0.042407774730065566,0.042407774730065566
135,brightening_100,scene,jacuzzi-indoor-s,3,0.11704756719597165,0.08894732648758939
136,brightening_100,scene,jail_cell-s,1,0.04245947227594486,0.04245947227594486
137,brightening_100,scene,junk_pile-s,1,0.06515031344726804,0.06515031344726804
138,brightening_100,scene,kasbah-s,1,0.0672159509952052,0.0672159509952052
139,brightening_100,scene,landing_deck-s,2,0.05130752627125986,0.047682781001365526
140,brightening_100,scene,laundromat-s,1,0.12543121704488955,0.12543121704488955
141,brightening_100,scene,lighthouse-s,2,0.10503122905103482,0.07290233306297864
142,brightening_100,scene,living_room-s,3,0.06570566300617156,0.05988066161930333
143,brightening_100,scene,lobby-s,1,0.02787860760657835,0.02787860760657835
144,brightening_100,scene,locker_room-s,1,0.051294350762444214,0.051294350762444214
145,brightening_100,scene,medina-s,1,0.06827990287851489,0.06827990287851489
146,brightening_100,scene,mosque-outdoor-s,1,0.06042192027232415,0.06042192027232415
147,brightening_100,scene,mountain-s,1,0.06501990067840324,0.06501990067840324
148,brightening_100,scene,mountain_snowy-s,2,0.15577654932022575,0.13226996642338884
149,brightening_100,scene,movie_theater-indoor-s,1,0.06290764675283099,0.06290764675283099
150,brightening_100,scene,nursery-s,7,0.1469540279829669,0.06746290319521639
151,brightening_100,scene,oast_house-s,1,0.05828286938414035,0.05828286938414035
152,brightening_100,scene,office-s,1,0.14228693535737125,0.14228693535737125
153,brightening_100,scene,operating_room-s,2,0.06361377175708452,0.049345750546468475
154,brightening_100,scene,orchard-s,1,0.11067475001968344,0.11067475001968344
155,brightening_100,scene,pantry-s,3,0.07458999610306405,0.05617126249898766
156,brightening_100,scene,park-s,2,0.07595774878027706,0.07158511175881072
157,brightening_100,scene,parking_garage-indoor-s,1,0.06546979827022782,0.06546979827022782
158,brightening_100,scene,pasture-s,1,0.07101338529669132,0.07101338529669132
159,brightening_100,scene,playground-s,2,0.1276987210524451,0.12578281203350072
160,brightening_100,scene,playroom-s,2,0.07237669757905253,0.06351520865432125
161,brightening_100,scene,poolroom-home-s,6,0.1342460338041951,0.07700520856639728
162,brightening_100,scene,reception-s,5,0.10193777713947184,0.06559174384572106
163,brightening_100,scene,river-s,1,0.04903733623744352,0.04903733623744352
164,brightening_100,scene,rope_bridge-s,1,0.03010400657856238,0.03010400657856238
165,brightening_100,scene,roundabout-s,1,0.04036334852269592,0.04036334852269592
166,brightening_100,scene,rubble-s,1,0.07626306572237335,0.07626306572237335
167,brightening_100,scene,sandbox-s,3,0.09036411656290176,0.0598426818887809
168,brightening_100,scene,sauna-s,1,0.13641658416544825,0.13641658416544825
169,brightening_100,scene,shed-s,1,0.04196723127290028,0.04196723127290028
170,brightening_100,scene,shoe_shop-s,3,0.1421334041493049,0.09214257381815365
171,brightening_100,scene,skyscraper-s,3,0.17806961438680505,0.14309958491792385
172,brightening_100,scene,stadium-baseball-s,1,0.06112912532202095,0.06112912532202095
173,brightening_100,scene,staircase-s,1,0.19170307805797746,0.19170307805797746
174,brightening_100,scene,street-s,9,0.07359462695579994,0.05419544999673617
175,brightening_100,scene,subway_interior-s,1,0.10171810126210976,0.10171810126210976
176,brightening_100,scene,supermarket-s,3,0.0847501475602823,0.0754949983532099
177,brightening_100,scene,swimming_pool-outdoor-s,1,0.05729710737772215,0.05729710737772215
178,brightening_100,scene,television_studio-s,1,0.06402179006560449,0.06402179006560449
179,brightening_100,scene,theater-indoor_procenium-s,2,0.06535349279855249,0.05543625753687603
180,brightening_100,scene,vineyard-s,1,0.06206364535832305,0.06206364535832305
181,brightening_100,scene,waiting_room-s,1,0.0395765750992792,0.0395765750992792
182,brightening_100,scene,warehouse-indoor-s,1,0.09234247417710062,0.09234247417710062
183,brightening_100,scene,water_tower-s,2,0.08115255548036954,0.06019213589354351
184,brightening_100,scene,waterfall-block-s,2,0.050403177277650736,0.04791239381951552
185,brightening_100,scene,wheat_field-s,1,0.13522534108893308,0.13522534108893308
186,brightening_100,scene,windmill-s,4,0.09709580027688236,0.0741279600844289
187,brightening_100,scene,window_seat-s,1,0.028988900757634713,0.028988900757634713
188,brightening_100,scene,youth_hostel-s,2,0.03806826235706683,0.03481253376230006
189,brightening_100,scene,zen_garden-s,1,0.16807456940745558,0.16807456940745558
190,brightening_100,texture,banded,2,0.0743162490328502,0.05791279112467644
191,brightening_100,texture,bumpy,1,0.07646160865231072,0.07646160865231072
